,City,City (ASCII),Country,Latitude,Longitude,Population,Region,Region (ASCII),Time Zone
0,Chiang Rai,Chiang Rai,Thailand,19.9086,99.8325,78756,Chiang Rai,Chiang Rai,Asia/Bangkok
1,Chiang Mai,Chiang Mai,Thailand,18.7904,98.9847,200952,Chiang Mai,Chiang Mai,Asia/Bangkok
