,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
131,8,3,1.00,48.8,0,20,2016
132,8,3,1.00,47.6,0,21,2016
133,8,3,1.00,46.5,0,22,2016
134,8,3,1.00,42.1,0,23,2016
135,9,3,1.00,43.8,0,0,2016
136,9,3,1.00,40.8,0,1,2016
137,9,3,1.00,40.2,0,2,2016
138,9,3,1.00,38.7,0,3,2016
139,9,3,1.00,39.6,0,4,2016
140,9,3,1.00,46.8,0,5,2016
141,9,3,1.00,39.5,0,6,2016
142,9,3,1.00,38.4,0,7,2016
143,9,3,1.00,47.9,0,8,2016
144,9,3,1.00,45.0,0,9,2016
145,9,3,1.00,49.2,0,10,2016
146,9,3,1.00,51.3,0,11,2016
147,9,3,1.00,48.9,0,12,2016
148,9,3,1.00,52.1,0,13,2016
149,9,3,1.00,46.8,0,14,2016
150,9,3,1.00,46.8,0,15,2016
151,9,3,1.00,44.3,0,16,2016
152,9,3,1.00,50.2,0,17,2016
153,9,3,1.00,55.3,0,18,2016
154,9,3,1.00,56.3,0,19,2016
155,9,3,1.00,59.7,0,20,2016
156,9,3,1.00,61.2,0,21,2016
157,9,3,1.00,54.7,0,22,2016
158,9,3,1.00,54.0,0,23,2016
159,10,3,1.00,51.2,0,0,2016
160,10,3,1.00,45.5,0,2,2016
161,10,3,1.00,44.8,0,3,2016
162,10,3,1.00,41.9,0,4,2016
163,10,3,1.00,44.4,0,5,2016
164,10,3,1.00,46.7,0,6,2016
165,10,3,1.00,53.3,0,7,2016
166,10,3,1.00,48.7,0,8,2016
167,10,3,1.00,46.1,0,9,2016
168,10,3,1.00,52.5,0,10,2016
169,10,3,1.00,45.9,0,11,2016
170,10,3,1.00,43.2,0,12,2016
171,10,3,1.00,36.9,0,13,2016
172,10,3,1.00,37.6,0,14,2016
173,10,3,1.00,41.0,0,15,2016
174,10,3,1.00,50.3,0,16,2016
175,10,3,1.00,51.5,0,17,2016
176,10,3,1.00,63.1,0,18,2016
177,10,3,1.00,65.2,0,19,2016
178,10,3,1.00,66.4,0,20,2016
179,10,3,1.00,66.4,0,21,2016
180,10,3,1.00,65.6,0,22,2016
181,10,3,1.00,72.5,0,23,2016
182,11,3,1.00,51.0,0,0,2016
183,11,3,1.00,63.5,0,1,2016
184,11,3,1.00,63.5,0,2,2016
185,11,3,1.00,63.5,0,3,2016
186,11,3,1.00,63.5,0,4,2016
187,11,3,1.00,63.9,0,5,2016
188,11,3,1.00,64.0,0,6,2016
189,11,3,1.00,64.0,0,7,2016
190,11,3,1.00,64.0,0,8,2016
191,11,3,1.00,64.0,0,9,2016
192,11,3,1.00,64.0,0,10,2016
193,11,3,1.00,64.0,0,11,2016
194,11,3,1.00,64.0,0,12,2016
195,11,3,1.00,63.5,0,13,2016
196,11,3,1.00,63.6,0,14,2016
197,11,3,1.00,63.6,0,15,2016
198,11,3,1.00,63.6,0,16,2016
199,11,3,1.00,63.6,0,17,2016
200,11,3,1.00,63.6,0,18,2016
201,11,3,1.00,63.6,0,19,2016
202,11,3,1.00,64.0,0,20,2016
203,11,3,1.00,64.0,0,21,2016
204,11,3,1.00,64.0,0,22,2016
205,11,3,1.00,63.6,0,23,2016
206,12,3,1.00,64.0,0,0,2016
207,12,3,1.00,64.0,0,1,2016
208,12,3,1.00,63.9,0,2,2016
209,12,3,1.00,63.9,0,3,2016
210,12,3,1.00,63.5,0,4,2016
211,12,3,1.00,63.5,0,5,2016
212,12,3,1.00,64.0,0,6,2016
213,12,3,1.00,64.0,0,7,2016
214,12,3,1.00,64.0,0,8,2016
215,12,3,1.00,64.0,0,9,2016
216,12,3,1.00,64.0,0,10,2016
217,12,3,1.00,64.0,0,11,2016
218,12,3,1.00,63.6,0,12,2016
219,12,3,1.00,63.6,0,13,2016
220,12,3,1.00,63.6,0,14,2016
221,12,3,1.00,63.6,0,15,2016
222,12,3,1.00,63.6,0,16,2016
223,12,3,1.00,45.8,0,17,2016
224,12,3,1.00,55.6,0,18,2016
225,12,3,1.00,55.1,0,19,2016
226,12,3,1.00,56.2,0,20,2016
227,12,3,1.00,50.0,0,21,2016
228,12,3,1.00,43.0,0,22,2016
229,12,3,1.00,45.3,0,23,2016
230,13,3,1.00,43.4,0,0,2016
231,13,3,1.00,42.4,0,1,2016
232,13,3,1.00,41.7,0,3,2016
233,13,3,1.00,17.2,0,4,2016
234,13,3,1.00,18.4,0,5,2016
235,13,3,1.00,34.1,0,6,2016
236,13,3,1.00,43.5,0,7,2016
237,13,3,1.00,42.2,0,8,2016
238,13,3,1.00,39.2,0,9,2016
239,13,3,1.00,39.9,0,10,2016
240,13,3,1.00,37.3,0,11,2016
241,13,3,1.00,26.8,0,12,2016
242,13,3,1.00,28.8,0,13,2016
243,13,3,1.00,32.5,0,14,2016
244,13,3,1.00,32.0,0,15,2016
245,13,3,1.00,48.5,0,16,2016
246,13,3,1.00,53.9,0,17,2016
247,13,3,1.00,57.1,0,18,2016
248,13,3,1.00,58.6,0,19,2016
249,13,3,1.00,59.6,0,20,2016
250,13,3,1.00,60.4,0,21,2016
251,13,3,1.00,54.6,0,22,2016
252,13,3,1.00,47.3,0,23,2016
253,14,3,1.00,50.5,0,0,2016
254,14,3,1.00,46.6,0,1,2016
255,14,3,1.00,61.1,0,2,2016
256,14,3,1.00,64.3,0,3,2016
257,14,3,1.00,59.3,0,4,2016
258,14,3,1.00,59.8,0,5,2016
259,14,3,1.00,73.6,0,6,2016
260,14,3,1.00,83.8,0,7,2016
261,14,3,1.00,88.2,0,8,2016
262,14,3,1.00,82.8,0,9,2016
263,14,3,1.00,80.4,0,10,2016
264,14,3,1.00,77.4,0,11,2016
265,14,3,1.00,65.9,0,12,2016
266,14,3,1.00,74.3,0,13,2016
267,14,3,1.00,71.9,0,14,2016
268,14,3,1.00,72.1,0,16,2016
269,14,3,1.00,69.0,0,17,2016
270,14,3,1.00,73.5,0,18,2016
271,14,3,1.00,73.1,0,19,2016
