Date,latitude,longitude,PM2.5
2016-06-23,19.9086,99.8325,15.982608695652173
2016-06-24,19.9086,99.8325,14.25
2016-06-25,19.9086,99.8325,14.225
2016-06-26,19.9086,99.8325,15.408695652173915
2016-06-27,19.9086,99.8325,13.008333333333335
2016-06-28,19.9086,99.8325,15.233333333333334
2016-06-29,19.9086,99.8325,15.616666666666665
2016-06-30,19.9086,99.8325,13.645833333333337
2016-07-01,19.9086,99.8325,13.354166666666666
2016-07-02,19.9086,99.8325,12.916666666666664
2016-07-03,19.9086,99.8325,13.954166666666664
2016-07-04,19.9086,99.8325,15.945454545454545
2016-07-05,19.9086,99.8325,16.808695652173906
2016-07-06,19.9086,99.8325,14.558333333333335
2016-07-07,19.9086,99.8325,11.916666666666666
2016-07-08,19.9086,99.8325,15.387499999999998
2016-07-09,19.9086,99.8325,15.073684210526318
2016-07-10,19.9086,99.8325,14.995652173913047
2016-07-11,19.9086,99.8325,13.29166666666667
2016-07-12,19.9086,99.8325,14.640909090909089
2016-07-13,19.9086,99.8325,14.441666666666665
2016-07-14,19.9086,99.8325,12.57391304347826
2016-07-15,19.9086,99.8325,9.037499999999998
2016-07-16,19.9086,99.8325,11.308333333333335
2016-07-17,19.9086,99.8325,10.08695652173913
2016-07-18,19.9086,99.8325,9.352173913043478
2016-07-19,19.9086,99.8325,7.429166666666667
2016-07-20,19.9086,99.8325,7.778260869565215
2016-07-21,19.9086,99.8325,8.4
2016-07-22,19.9086,99.8325,8.060869565217391
2016-07-23,19.9086,99.8325,11.683333333333332
2016-07-24,19.9086,99.8325,10.149999999999999
2016-07-25,19.9086,99.8325,20.583333333333336
2016-07-26,19.9086,99.8325,12.0
2016-07-27,19.9086,99.8325,10.704166666666667
2016-07-28,19.9086,99.8325,10.743478260869566
2016-07-29,19.9086,99.8325,11.658333333333333
2016-07-30,19.9086,99.8325,9.08695652173913
2016-07-31,19.9086,99.8325,8.520833333333332
2016-08-01,19.9086,99.8325,9.404166666666665
2016-08-02,19.9086,99.8325,12.840909090909093
2016-08-03,19.9086,99.8325,12.3
2016-08-04,19.9086,99.8325,10.674999999999999
2016-08-05,19.9086,99.8325,8.070833333333331
2016-08-06,19.9086,99.8325,10.183333333333332
2016-08-07,19.9086,99.8325,10.358333333333333
2016-08-08,19.9086,99.8325,11.516666666666667
2016-08-09,19.9086,99.8325,12.025
2016-08-10,19.9086,99.8325,13.414285714285715
2016-08-11,19.9086,99.8325,15.127272727272727
