Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
9,3,1.00,53.9,0,10,2016
9,3,1.00,59.7,0,11,2016
9,3,1.00,62.0,0,12,2016
9,3,1.00,55.1,0,13,2016
9,3,1.00,51.0,0,14,2016
9,3,1.00,51.0,0,15,2016
9,3,1.00,49.3,0,16,2016
9,3,1.00,52.4,0,17,2016
9,3,1.00,57.0,0,18,2016
9,3,1.00,58.9,0,19,2016
9,3,1.00,62.0,0,20,2016
9,3,1.00,42.0,0,21,2016
9,3,1.00,49.9,0,22,2016
9,3,1.00,57.1,0,23,2016
10,3,1.00,55.5,0,0,2016
10,3,1.00,54.5,0,2,2016
10,3,1.00,56.0,0,3,2016
10,3,1.00,64.2,0,4,2016
10,3,1.00,69.8,0,5,2016
10,3,1.00,79.6,0,6,2016
10,3,1.00,75.3,0,7,2016
10,3,1.00,65.1,0,8,2016
10,3,1.00,66.8,0,9,2016
10,3,1.00,65.7,0,10,2016
10,3,1.00,60.9,0,11,2016
10,3,1.00,63.4,0,12,2016
10,3,1.00,64.8,0,13,2016
10,3,1.00,66.0,0,14,2016
10,3,1.00,64.6,0,15,2016
10,3,1.00,55.6,0,16,2016
10,3,1.00,55.6,0,17,2016
10,3,1.00,59.4,0,18,2016
10,3,1.00,67.0,0,19,2016
10,3,1.00,73.2,0,20,2016
10,3,1.00,72.9,0,21,2016
10,3,1.00,69.7,0,22,2016
10,3,1.00,64.6,0,23,2016
11,3,1.00,59.9,0,0,2016
11,3,1.00,58.8,0,1,2016
11,3,1.00,58.8,0,2,2016
11,3,1.00,58.8,0,3,2016
11,3,1.00,58.8,0,4,2016
11,3,1.00,59.0,0,5,2016
11,3,1.00,59.4,0,6,2016
11,3,1.00,59.7,0,7,2016
11,3,1.00,59.4,0,8,2016
11,3,1.00,59.4,0,9,2016
11,3,1.00,59.4,0,10,2016
11,3,1.00,59.3,0,11,2016
11,3,1.00,59.3,0,12,2016
11,3,1.00,59.1,0,13,2016
11,3,1.00,59.1,0,14,2016
11,3,1.00,59.1,0,15,2016
11,3,1.00,59.1,0,16,2016
11,3,1.00,59.1,0,17,2016
11,3,1.00,59.1,0,18,2016
11,3,1.00,59.3,0,19,2016
11,3,1.00,59.5,0,20,2016
11,3,1.00,59.5,0,21,2016
11,3,1.00,59.2,0,22,2016
11,3,1.00,59.1,0,23,2016
12,3,1.00,59.2,0,0,2016
12,3,1.00,59.1,0,1,2016
12,3,1.00,58.8,0,2,2016
12,3,1.00,58.8,0,3,2016
12,3,1.00,58.8,0,4,2016
12,3,1.00,59.0,0,5,2016
12,3,1.00,59.1,0,6,2016
12,3,1.00,59.3,0,7,2016
12,3,1.00,59.6,0,8,2016
12,3,1.00,59.5,0,9,2016
12,3,1.00,59.4,0,10,2016
12,3,1.00,59.4,0,11,2016
12,3,1.00,59.3,0,12,2016
12,3,1.00,59.3,0,13,2016
12,3,1.00,59.2,0,14,2016
12,3,1.00,59.3,0,15,2016
12,3,1.00,59.3,0,16,2016
12,3,1.00,61.8,0,17,2016
12,3,1.00,70.7,0,18,2016
12,3,1.00,71.6,0,19,2016
12,3,1.00,79.9,0,20,2016
12,3,1.00,66.8,0,21,2016
12,3,1.00,63.2,0,22,2016
12,3,1.00,66.0,0,23,2016
13,3,1.00,54.9,0,0,2016
13,3,1.00,49.8,0,1,2016
13,3,1.00,55.1,0,3,2016
13,3,1.00,33.5,0,4,2016
13,3,1.00,33.7,0,5,2016
13,3,1.00,38.9,0,6,2016
13,3,1.00,50.3,0,7,2016
13,3,1.00,52.0,0,8,2016
13,3,1.00,51.9,0,9,2016
13,3,1.00,44.9,0,10,2016
13,3,1.00,46.1,0,11,2016
13,3,1.00,41.1,0,12,2016
13,3,1.00,41.8,0,13,2016
13,3,1.00,46.1,0,14,2016
13,3,1.00,46.2,0,15,2016
13,3,1.00,55.5,0,16,2016
13,3,1.00,63.7,0,17,2016
13,3,1.00,64.8,0,18,2016
13,3,1.00,64.6,0,19,2016
13,3,1.00,78.4,0,20,2016
13,3,1.00,85.5,0,21,2016
13,3,1.00,86.4,0,22,2016
13,3,1.00,71.9,0,23,2016
14,3,1.00,71.6,0,0,2016
14,3,1.00,69.6,0,1,2016
14,3,1.00,61.2,0,2,2016
14,3,1.00,61.1,0,3,2016
14,3,1.00,54.8,0,4,2016
14,3,1.00,54.4,0,5,2016
14,3,1.00,60.7,0,6,2016
14,3,1.00,73.8,0,7,2016
14,3,1.00,72.3,0,8,2016
14,3,1.00,66.8,0,9,2016
14,3,1.00,59.1,0,10,2016
14,3,1.00,55.9,0,11,2016
14,3,1.00,63.8,0,12,2016
14,3,1.00,66.1,0,13,2016
14,3,1.00,60.6,0,14,2016
14,3,1.00,56.5,0,16,2016
14,3,1.00,60.3,0,17,2016
14,3,1.00,79.9,0,18,2016
14,3,1.00,65.5,0,19,2016
14,3,1.00,83.5,0,20,2016
14,3,1.00,85.5,0,21,2016
14,3,1.00,85.8,0,22,2016
14,3,1.00,95.4,0,23,2016
15,3,1.00,84.5,0,0,2016
15,3,1.00,73.8,0,1,2016
15,3,1.00,67.3,0,2,2016
15,3,1.00,72.7,0,3,2016
15,3,1.00,66.6,0,4,2016
15,3,1.00,66.1,0,5,2016
15,3,1.00,81.6,0,6,2016
15,3,1.00,86.6,0,7,2016
